Reference, Quantity, Value, Footprint, Datasheet, Source
C1 C4 ,2,"68uF","Capacitor_THT:C_Radial_D4.0mm_H7.0mm_P1.50mm","https://docs.rs-online.com/f424/0900766b80becf93.pdf","https://uk.rs-online.com/web/p/aluminium-capacitors/0572312/"
C2 ,1,"100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://docs.rs-online.com/bcd8/0900766b814894c5.pdf","https://uk.rs-online.com/web/p/aluminium-capacitors/3150962/"
C3 ,1,"10nF","Capacitor_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4","https://docs.rs-online.com/9793/0900766b814700cb.pdf","https://uk.rs-online.com/web/p/polypropylene-film-capacitors/8961512/"
D1 ,1,"Yellow","LED_THT:LED_D5.0mm","https://docs.rs-online.com/f8c6/0900766b8162d8d7.pdf","https://uk.rs-online.com/web/p/leds/1682378/"
D2 ,1,"Green","LED_THT:LED_D5.0mm","https://docs.rs-online.com/5a16/0900766b8162d8a7.pdf","https://uk.rs-online.com/web/p/leds/1682428/"
D3 ,1,"Red","LED_THT:LED_D5.0mm","https://docs.rs-online.com/436b/0900766b8162d8d6.pdf","https://uk.rs-online.com/web/p/leds/1682471/"
D4 ,1,"DSSK50-01A","Package_TO_SOT_THT:TO-220-3_Vertical","https://docs.rs-online.com/9374/0900766b80a38b02.pdf","https://uk.rs-online.com/web/p/schottky-diodes-rectifiers/0192994/"
D5 ,1,"1N5819RL","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","https://docs.rs-online.com/6961/0900766b80da3e32.pdf","https://uk.rs-online.com/web/p/schottky-diodes-rectifiers/6870754/"
J1 ,1,"Signal Power","Connector:2WayTerminalStrip_5mm","https://docs.rs-online.com/0623/0900766b8157c7d5.pdf","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901064/"
J2 ,1,"Board Power","Pauls Parts:2WayScrewTerminal_2.54","https://docs.rs-online.com/90f4/0900766b8157c7e9.pdf","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901098/"
J3 ,1,"Green Signal","Connector:2WayTerminalStrip_5mm","https://docs.rs-online.com/0623/0900766b8157c7d5.pdf","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901064/"
J4 ,1,"Red Signal","Connector:2WayTerminalStrip_5mm","https://docs.rs-online.com/0623/0900766b8157c7d5.pdf","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901064/"
J5 ,1,"Manual Stop","Pauls Parts:2WayScrewTerminal_2.54","https://docs.rs-online.com/90f4/0900766b8157c7e9.pdf","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901098/"
JP1 ,1,"Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://docs.rs-online.com/8109/A700000007648145.pdf","https://uk.rs-online.com/web/p/pcb-headers/2518086/"
JP2 ,1,"Local Stop","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://docs.rs-online.com/8109/A700000007648145.pdf","https://uk.rs-online.com/web/p/pcb-headers/2518086/"
JP3 ,1,"Local Sense","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://docs.rs-online.com/8109/A700000007648145.pdf","https://uk.rs-online.com/web/p/pcb-headers/2518086/"
JP4 ,1,"Spare","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://docs.rs-online.com/8109/A700000007648145.pdf","https://uk.rs-online.com/web/p/pcb-headers/2518086/"
L1 ,1,"47uH","Inductor_THT:L_Toroid_Vertical_L14.7mm_W8.6mm_P5.58mm_Pulse_KM-1","https://docs.rs-online.com/24ef/0900766b81505716.pdf","https://uk.rs-online.com/web/p/leaded-inductors/1048418/"
Q1 Q2 ,2,"RFP50N06LE","Package_TO_SOT_THT:TO-220-3_Vertical","https://docs.rs-online.com/44a2/0900766b8003167d.pdf","https://uk.rs-online.com/web/p/mosfets/3257625/"
R1 R2 R3 R4 R6 R9 R11 R12 R13 ,9,"10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/76ca/0900766b8157ae01.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077745/"
R5 R8 ,2,"1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
R7 R10 ,2,"470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
SW1 ,1,"Address","Package_DIP:DIP_SW-8_W7.62mm_LongPads","https://docs.rs-online.com/dee5/0900766b813ebdbf.pdf","https://uk.rs-online.com/web/p/dip-sip-switches/0342102/"
U1 ,1,"HC-SR04","Sensor_Distance:HC-SR04","https://docs.rs-online.com/8bc5/A700000007388293.pdf","https://uk.rs-online.com/web/p/bbc-micro-bit-add-ons/2153181/"
U2 ,1,"ESP32_DevKit_V4","ESP32_DevKit_V4:esp32_devkit_v4","https://docs.espressif.com/projects/esp-idf/en/latest/esp32/hw-reference/esp32/get-started-devkitc.html#","https://www.amazon.co.uk/Dorhea-ESP32-DevKitC-Development-ESP32-WROOM-32U-Amplifier/dp/B08T5RBCXS/ref=sr_1_10?dchild=1&keywords=esp32+devkitc+v4&qid=1621968791&sr=8-10"
U3 ,1,"LM2675N-5","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2675.pdf","https://uk.farnell.com/texas-instruments/lm2675n-5-0-nopb/ic-dc-dc-converter-1a/dp/3122905?st=lm2675n-5"